F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S 10713 26077 26072  0  80   0 -  3783 wait   pts/36   00:00:00 bash
0 S 10713 13814 26077  0  80   0 -  3107 wait   pts/36   00:00:00   o
1 R 10713 13816 13814 40  80   0 -  3107 -      pts/36   00:00:00     o
1 R 10713 13817 13814  0  85   5 -  3107 -      pts/36   00:00:00     o
1 R 10713 13818 13814  0  90  10 -  3107 -      pts/36   00:00:00     o
1 R 10713 13819 13814  0  95  15 -  3107 -      pts/36   00:00:00     o
1 S 10713 13820 13814  0  80   0 -  3107 wait   pts/36   00:00:00     o
0 S 10713 13821 13820  0  80   0 -  3272 wait   pts/36   00:00:00       sh
0 R 10713 13822 13821 50  80   0 -  4245 -      pts/36   00:00:00         ps
